sample_num,sample_id,time_point,date,time,coral,treatment,num_of_larvea,date_tube_collected,tank_num,day_of_spawning,extraction_date,extraction_batch,extraction_tech
1,X119,Unfertilized_egg,6/13/18,22:00,montipora,AMB,300ul,6/13/18,,6/13/18,2/22/19,0,MAG
2,X120,Unfertilized_egg,6/13/18,22:00,montipora,AMB,300ul,6/13/18,,6/13/18,3/15/19,0,MAG
3,X121,Unfertilized_egg,6/13/18,22:00,montipora,AMB,300ul,6/13/18,,6/13/18,5/17/19,12,EEC
4,X127,Fertilized_egg,6/13/18,23:00,montipora,AMB,300ul,6/13/18,2,6/13/18,5/6/19,10,EEC
9,X132,Fertilized_egg,6/13/18,23:00,montipora,AMB,300ul,6/13/18,7,6/13/18,5/6/19,10,EEC
12,X153,Cleavage,6/14/18,2:00,montipora,AMB,300ul,6/13/18,1,6/13/18,4/29/19,9,EEC
13,X154,Cleavage,6/14/18,2:00,montipora,AMB,300ul,6/13/18,2,6/13/18,4/27/19,8,EEC
18,X159,Cleavage,6/14/18,2:00,montipora,AMB,300ul,6/13/18,7,6/13/18,5/7/19,11,EEC
20,X162,Prawn_chip,6/14/18,7:00,montipora,AMB,300ul,6/14/18,1,6/13/18,5/6/19,10,EEC
21,X163,Prawn_chip,6/14/18,7:00,montipora,AMB,300ul,6/14/18,2,6/13/18,4/27/19,8,EEC
25,X167,Prawn_chip,6/14/18,7:00,montipora,AMB,300ul,6/14/18,7,6/13/18,5/6/19,10,EEC
28,X179,Early_gastrula,6/14/18,12:00,montipora,AMB,300ul,6/14/18,1,6/13/18,5/6/19,10,EEC
29,X180,Early_gastrula,6/14/18,12:00,montipora,AMB,300ul,6/14/18,2,6/13/18,5/7/19,11,EEC
33,X184,Early_gastrula,6/14/18,12:00,montipora,AMB,300ul,6/14/18,7,6/13/18,5/17/19,12,EEC
36,X212,Mid_gastrula,6/14/18,20:00,montipora,AMB,300ul,6/14/18,10,6/13/18,5/17/19,12,EEC
37,X215,Mid_gastrula,6/14/18,20:00,montipora,AMB,300ul,6/14/18,13,6/13/18,5/17/19,12,EEC
38,X218,Late_gastrula,6/15/18,12:00,montipora,AMB,300ul,6/15/18,10,6/13/18,3/1/19,1,EEC
39,X221,Late_gastrula,6/15/18,12:00,montipora,AMB,300ul,6/15/18,13,6/13/18,5/17/19,12,EEC
40,X359,Planula,6/22/18,12:00,montipora,AMB,300ul,6/22/18,10,6/13/18,3/29/19,5,EEC
41,X361,Planula,6/22/18,12:00,montipora,AMB,300ul,6/22/18,10,6/13/18,4/25/19,7,EEC
47,X375,Planula,6/22/18,12:00,montipora,AMB,300ul,6/22/18,13,6/13/18,3/29/19,5,EEC
NA,X1101,Adult,9/22/18,NA,montipora,AMB,3cm fragment,9/22/18,NA,NA,8/23/19,NA,ES
NA,X1548,Adult,9/22/18,NA,montipora,AMB,3cm fragment,9/22/18,NA,NA,9/4/19,NA,ES
NA,X1628,Adult,9/22/18,NA,montipora,AMB,3cm fragment,9/22/18,NA,NA,11/13/19,NA,ES