Date,ZeroPoint,Slope,pH4,pH7,pH10,temp,Calib.status,notes,Initial
20180613,7.07,-58.52,179.4,3.6,-172.6,23.8,Pass,,HP
20180614,7.056,-58.57,178.6,3,-173.3,24.3,Pass,,MS
20180615,7.099,-58.38,180.6,5.2,-170.3,24.1,Pass,,MS/MN/HP
20180616,7.111,-58.31,181.5,5.1,-164.6,23.2,Pass,,VS
20180617,7.097,-58.43,181.1,4.3,-170.6,23.4,Pass,,VS
20180618,7.112,-58.69,182.9,4.9,-170.2,23.7,Pass,,VS
20180619,7.097,-58.72,181.4,5.5,-170.7,25.5,Pass,,HP
20180620,7.11,-58.35,180.8,6.7,-169.6,24.6,Pass,,VS
20180621,7.1,-58.45,180.4,6.3,-170.3,25.1,Pass,,VS
20180622,7.091,-58.34,179.7,5.4,-170.5,24.8,Pass,,VS